score,floor,viewing,view_time,address,area,price,living_area,rooms,monthly_fee,price_per_m2,features,agent,url
0.493,2/4,Wed 23 Jul,12:30,Hugo Theorells gata 33,Vallastaden,1895000,40.0,1.5,3 529,47375,"Balkong, Hiss",HusmanHagberg Linköping,"https://www.hemnet.se/bostad/lagenhet-1,5rum-vallastaden-linkopings-kommun-hugo-theorells-gata-33-21570676"
0.67,5,Sat 26 jul,13:30,Exercisgränd 1,Södra Ekkällan,1795000,38.0,2,3 171,47237,"Premium, Balkong, Hiss",SkandiaMäklarna Linköping,https://www.hemnet.se/bostad/lagenhet-2rum-sodra-ekkallan-linkopings-kommun-exercisgrand-1-21415263
0.689,4,Sun 27 jul,11:00,Honnörsgatan 2,Södra Ekkällan,1650000,42.0,2,3 911,39286,"Balkong, Hiss",Notar,https://www.hemnet.se/bostad/lagenhet-2rum-sodra-ekkallan-linkopings-kommun-honnorsgatan-2-21465334
0.684,4/5,Sun 27 jul,14:15,Kungsberget 2,Tannefors,1745000,44.0,2,2 962,39659,"Premium, Balkong, Hiss",HusmanHagberg Linköping,https://www.hemnet.se/bostad/lagenhet-2rum-tannefors-linkopings-kommun-kungsberget-2-21575849
0.62,3/5,Sun 27 jul,14:00,Sturegatan 5,Centrala Linköping,1695000,52.0,2,4 071,32596,"Premium, Balkong, Hiss",Notar,https://www.hemnet.se/bostad/lagenhet-2rum-centrala-linkoping-linkopings-kommun-sturegatan-5-21574669
0.607,1/7,Sun 27 jul,16:30,Järnvägsgatan 2A,Vasastaden,1695000,39.0,1.5,3 273,43462,"Premium, Uteplats, Hiss",Svensk Fastighetsförmedling Linköping,"https://www.hemnet.se/bostad/lagenhet-1,5rum-vasastaden-linkopings-kommun-jarnvagsgatan-2a-21571168"
0.594,4/5,Sun 27 jul,14:00,Timmermansgatan 7,Vasastaden/centralt,1895000,38.0,1.5,2 855,49868,"Balkong, Hiss",SkandiaMäklarna Linköping,"https://www.hemnet.se/bostad/lagenhet-1,5rum-vasastaden-centralt-linkopings-kommun-timmermansgatan-7-21577941"
0.59,1/3,Sun 27 jul,13:30,Batterigatan 9,Södra Ekkällan,1695000,44.0,2,3 553,38523,"Premium, Uteplats, Hiss",SkandiaMäklarna Linköping,https://www.hemnet.se/bostad/lagenhet-2rum-sodra-ekkallan-linkopings-kommun-batterigatan-9-21575059
0.579,2,Sun 27 jul,15:30,Östsvängen 1B,Linköping,1795000,40.0,2,3 163,44875,"Balkong, Hiss",Svensk Fastighetsförmedling Linköping,https://www.hemnet.se/bostad/lagenhet-2rum-linkoping-linkopings-kommun-ostsvangen-1b-21518417
0.563,3/6,Sun 27 jul,16:15,Östsvängen 1A,Gottfridsberg,1695000,40.0,1,3 163,42375,"Balkong, Hiss",,https://www.hemnet.se/bostad/lagenhet-1rum-gottfridsberg-linkopings-kommun-ostsvangen-1a-18900595
